family,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
Nitrososphaeraceae,11,FALSE,FALSE,FALSE,FALSE
Nocardiaceae,11,FALSE,FALSE,FALSE,FALSE
Nocardioidaceae,11,FALSE,FALSE,FALSE,FALSE
NS9 marine group,11,FALSE,FALSE,FALSE,FALSE
P3OB-42,11,FALSE,FALSE,FALSE,FALSE
Paenibacillaceae,11,FALSE,FALSE,FALSE,FALSE
Parachlamydiaceae,11,FALSE,FALSE,FALSE,FALSE
Parcubacteria group bacterium GW2011_GWA2_42_14,11,FALSE,FALSE,FALSE,FALSE
Pasteurellaceae,13,FALSE,FALSE,FALSE,FALSE
Peptococcaceae,11,FALSE,FALSE,FALSE,FALSE
Peptostreptococcaceae,9,FALSE,FALSE,FALSE,FALSE
Phaselicystidaceae,11,FALSE,FALSE,FALSE,FALSE
Planococcaceae,6,FALSE,FALSE,FALSE,FALSE
Polyangiaceae,5,FALSE,FALSE,FALSE,FALSE
Porphyromonadaceae,9,FALSE,FALSE,FALSE,FALSE
Prevotellaceae,10,FALSE,FALSE,FALSE,FALSE
Propionibacteriaceae,149,TRUE,TRUE,TRUE,TRUE
Pseudoalteromonadaceae,8,FALSE,FALSE,FALSE,FALSE
Pseudomonadaceae,155,TRUE,TRUE,TRUE,TRUE
Pyrinomonadaceae,11,FALSE,FALSE,FALSE,FALSE
Reyranellaceae,11,FALSE,FALSE,FALSE,FALSE
Rhizobiaceae,112,FALSE,FALSE,TRUE,TRUE
Rhodobacteraceae,11,FALSE,FALSE,FALSE,FALSE
Rhodopirillaceae,11,FALSE,FALSE,FALSE,FALSE
Rickettsiaceae,11,FALSE,FALSE,FALSE,FALSE
Rikenellaceae,11,FALSE,FALSE,FALSE,FALSE
Rs-M59 termite group,11,FALSE,FALSE,FALSE,FALSE
Ruminococcaceae,10,FALSE,FALSE,FALSE,FALSE
Saccharimonadaceae,11,FALSE,FALSE,FALSE,FALSE
Schlesneriaceae,12,FALSE,FALSE,FALSE,FALSE
Solibacteraceae (Subgroup 3),11,FALSE,FALSE,FALSE,FALSE
Solimonadaceae,11,FALSE,FALSE,FALSE,FALSE
Solirubrobacteraceae,11,FALSE,FALSE,FALSE,FALSE
Sphingobacteriaceae,155,TRUE,TRUE,TRUE,TRUE
Sphingomonadaceae,155,TRUE,TRUE,TRUE,TRUE
Spirochaetaceae,11,FALSE,FALSE,FALSE,FALSE
Spirosomaceae,10,FALSE,FALSE,FALSE,FALSE
Sporichthyaceae,8,FALSE,FALSE,FALSE,FALSE
Sporolactobacillaceae,11,FALSE,FALSE,FALSE,FALSE
SR1 bacterium canine oral taxon 380,11,FALSE,FALSE,FALSE,FALSE
SR1 bacterium canine oral taxon 382,11,FALSE,FALSE,FALSE,FALSE
Staphylococcaceae,149,TRUE,TRUE,TRUE,TRUE
Streptococcaceae,145,TRUE,TRUE,TRUE,TRUE
Succinivibrionaceae,8,FALSE,FALSE,FALSE,FALSE
